Business Sector,Business Function,Business Process,Business Activity,Technology,Skills
MINING,"Exploration and Geology, Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Collection,"Environmental sensors, equipment monitoring sensors, Fulcrum, Survey123, Temperature logger, pressure logger, flow data logger","Field data collection, Sensor calibration and maintenance, Data validation and cleaning, Remote data acquisition"
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Storage,"AWS S3, Google Cloud Storage, NAS, SAN, MySQL, PostgreSQL, MongoDB, Cassandra, Veeam, Acronis, Commvault","Data architecture and management, Database administration, Data security and encryption, Disaster recovery planning"
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Management,"AWS S3, Google Cloud Storage, NAS, SAN, MySQL, PostgreSQL, MongoDB, Cassandra, Talend, Informatica, Veeam, Acronis, Commvault","Data architecture and management, Database administration, Data governance, Data quality management, Data security and encryption, Disaster recovery planning"
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Analysis,"R, SAS, SPSS, Python, Tableau, Power BI, Qlik, Hadoop, Apache Spark, TensorFlow, PyTorch, Scikit-learn, Power BI, Tableau, Looker","Statistical analysis, Predictive modeling, Machine learning and AI, Data visualization, Data cleaning and preprocessing, Hypothesis testing, Data interpretation and reporting"
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Use of ML,"TensorFlow, PyTorch, Scikit-learn, Python, R, Jupyter Notebooks, AWS SageMaker, Google Cloud AI, Azure ML, Hadoop, Apache Spark","Supervised and unsupervised learning, Deep learning, Natural language processing (NLP), Computer vision, Predictive analytics, Model training and evaluation, Feature engineering, Hyperparameter tuning"
MINING,Mining Operations,Automation and Robotics,Automation of the drilling production process,"Automated drilling rigs, Sensors and IoT devices, Programmable Logic Controllers, Supervisory Control and Data Acquisition","Control systems engineering, IoT and sensor technology, Data analytics and interpretation, Predictive maintenance, Process optimization"
MINING,Mining Operations,Automation and Robotics,"Utilization of advanced production technologies e.g., additive manufacturing","3D printer, High-performance alloys, composites, polymers, CAD/CAM software, Robotic manufacturing systems","Additive manufacturing processes, Materials science, CAD/CAM proficiency, Integration of robotics with production systems, Design for additive manufacturing (DfAM)"
MINING,Mining Operations,Automation and Robotics,Automation of the blasting production process,"JKSimBlast, BlastIQ, Electronic detonators, Automated drilling and blasting rigs, Remote-controlled and autonomous blasting systems, Sensors, IoT devices, Data analytics","Blast design and optimization, Explosives engineering, Safety and risk management, Control systems and automation, Data analysis and interpretation"
MINING,Mining Operations,Automation and Robotics,Automation of the loading production process,"Automated loaders, Fleet management systems, Sensors, IoT devices, PLCs, SCADA, Teleoperation systems","Automation engineering, Robotics and teleoperation, Fleet management, Sensor technology and IoT, Data analysis and optimization"
MINING,Mining Operations,Automation and Robotics,Use of digital device for seismicity measurement for geotechnical analysis,"Digital seismographs, accelerometers, geophones, Real-time data loggers, IoT devices, SeisAn, Seismic Handler, FLAC, Phase2, Drones equipped with seismic sensors","Seismology and geophysics, Geotechnical engineering, Data acquisition and transmission, Seismic data analysis and interpretation, Risk assessment and management"
MINING,Mining Operations,Automation and Robotics,Use of digital device and technology in ascertaining rock properties for geotechnical analysis,"Schmidt hammer, digital load cells, Automated rock testing machines, Ultrasonic pulse velocity testers, ground-penetrating radar (GPR), IoT devices, data logging, RocLab, Hoek's E-Pick","Rock mechanics and geomechanics, Non-destructive testing techniques, Data acquisition and transmission, Geotechnical data analysis and interpretation, Predictive modeling for rock behavior"
MINING,Mining Operations,Automation and Robotics,Use of technology for the loading and hauling and hoisting fuel cost,"FuelTrack, FuelFocus, Telematics, GPS, IoT sensors, Fleetmatics, Samsara, Predictive analytics, Hybrid and electric machinery","Fleet management, Telematics and GPS technology, IoT and sensor technology, Data analytics and interpretation, Fuel efficiency optimization, Predictive maintenance"
MINING,Mining Operations,Automation and Robotics,Stability risk analysis,"inclinometers, piezometers, strain gauges, Drones and satellite imagery, FLAC, Phase2, Rocscience, Data analytics platforms, Machine learning algorithms","Geotechnical engineering, Geomechanical modeling, Data acquisition and transmission, Real-time data analysis and interpretation, Risk assessment and management, Predictive analytics"
MINING,Mining Operations,Automation and Robotics,Continuous geotechnical monitoring,"Inclinometers, piezometers, strain gauges, Drones, LiDAR, satellite imagery, FLAC, Phase2, Rocscience, IoT networks, wireless sensor networks (WSN), Data analytics platforms, Machine learning algorithms","Geotechnical engineering, Data acquisition and transmission, Real-time data analysis and interpretation, Predictive analytics, Risk assessment and management"
MINING,Mining Operations,Automation and Robotics,Automating the type of mining method as per the rock quality,"Rock quality sensors, FLAC, Phase2, Rocscience, Machine learning algorithms, AI-driven systems, PLCs and SCADA ","Geomechanical analysis, Machine learning and AI, Control systems engineering, Rock mechanics, Data analytics and interpretation"
