ID,Business Sector,Business Function,Business Process,Business Activity,Technology,Skills
1,Mining,"Exploration and Geology, Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Collection,"Environmental sensors, equipment monitoring sensors, Fulcrum, Survey123, Temperature logger, pressure logger, flow data logger","Field data collection, Sensor calibration and maintenance, Data validation and cleaning, Remote data acquisition"
2,Mining,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Storage,"AWS S3, Google Cloud Storage, NAS, SAN, MySQL, PostgreSQL, MongoDB, Cassandra, Veeam, Acronis, Commvault","Data architecture and management, Database administration, Data security and encryption, Disaster recovery planning"
3,Mining,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Management,"AWS S3, Google Cloud Storage, NAS, SAN, MySQL, PostgreSQL, MongoDB, Cassandra, Talend, Informatica, Veeam, Acronis, Commvault","Data architecture and management, Database administration, Data governance, Data quality management, Data security and encryption, Disaster recovery planning"
4,Mining,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Analysis,"R, SAS, SPSS, Python, Tableau, Power BI, Qlik, Hadoop, Apache Spark, TensorFlow, PyTorch, Scikit-learn, Power BI, Tableau, Looker","Statistical analysis, Predictive modeling, Machine learning and AI, Data visualization, Data cleaning and preprocessing, Hypothesis testing, Data interpretation and reporting"
5,Mining,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Use of ML,"TensorFlow, PyTorch, Scikit-learn, Python, R, Jupyter Notebooks, AWS SageMaker, Google Cloud AI, Azure ML, Hadoop, Apache Spark","Supervised and unsupervised learning, Deep learning, Natural language processing (NLP), Computer vision, Predictive analytics, Model training and evaluation, Feature engineering, Hyperparameter tuning"
6,Mining,Mining Operations,Automation and Robotics,Automation of the drilling production process,"Automated drilling rigs, Sensors and IoT devices, Programmable Logic Controllers, Supervisory Control and Data Acquisition","Control systems engineering, IoT and sensor technology, Data analytics and interpretation, Predictive maintenance, Process optimization"
7,Mining,Mining Operations,Automation and Robotics,"Utilization of advanced production technologies e.g., additive manufacturing","3D printer, High-performance alloys, composites, polymers, CAD/CAM software, Robotic manufacturing systems","Additive manufacturing processes, Materials science, CAD/CAM proficiency, Integration of robotics with production systems, Design for additive manufacturing (DfAM)"
8,Mining,Mining Operations,Automation and Robotics,Automation of the blasting production process,"JKSimBlast, BlastIQ, Electronic detonators, Automated drilling and blasting rigs, Remote-controlled and autonomous blasting systems, Sensors, IoT devices, Data analytics","Blast design and optimization, Explosives engineering, Safety and risk management, Control systems and automation, Data analysis and interpretation"
9,Mining,Mining Operations,Automation and Robotics,Automation of the loading production process,"Automated loaders, Fleet management systems, Sensors, IoT devices, PLCs, SCADA, Teleoperation systems","Automation engineering, Robotics and teleoperation, Fleet management, Sensor technology and IoT, Data analysis and optimization"
10,Mining,Mining Operations,Automation and Robotics,Use of digital device for seismicity measurement for geotechnical analysis,"Digital seismographs, accelerometers, geophones, Real-time data loggers, IoT devices, SeisAn, Seismic Handler, FLAC, Phase2, Drones equipped with seismic sensors","Seismology and geophysics, Geotechnical engineering, Data acquisition and transmission, Seismic data analysis and interpretation, Risk assessment and management"
