id,BusinessSector,BusinessFunction,MeasuringElt,Rating,SUbCategory,AsIsQuestions,ToBeQuestions,MAXIMUM RATING
1,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Collection,,,5
2,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Storage,,,5
3,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Management,,,5
4,Energy,"IT, Research and Development,HR, Finance, Logistics, operations",Data Utilization and Analytics,90,Data Visualization,,,5
5,Energy,"IT, Research and Development,HR, Finance, Logistics, operations",Automation and Robotics,80,Alerts,,,5
7,Energy,"operations, IT, Research and Development,HR, Finance, ",Automation and Robotics,80,Alarms,,,5
8,Energy,"operations,Power Generation",Automation and Robotics,80,Maintenance,,,5
9,Energy,"operations,Power Generation",Automation and Robotics,80,Inspection,,,5
10,Energy,"operations,Power Generation",Automation and Robotics,80,SCADA systems,,,5
11,Energy,"operations,Power Generation",Automation and Robotics,80,Drilling ,,,5
12,Energy,"operations,Power Generation",Automation and Robotics,80,Remotely Operated Vehicles,,,5
13,Energy,"operations,Power Generation",Automation and Robotics,80,Stability risk analysis,,,5
14,Energy,"operations,Power Generation",Automation and Robotics,80,Solar Panel Cleaning:,,,5
15,Energy,"operations,Power Generation",Automation and Robotics,80,Fault Detection,,,5
16,Energy,"operations,Power Generation",Automation and Robotics,80,Digital device in slope geometry,,,5
17,Energy,"operations,Power Generation",Automation and Robotics,80,Load Balancing,,,5
18,Energy,"operations,Power Generation",Automation and Robotics,80,Leak Detection,,,5
19,Energy,"operations,Power Generation",Automation and Robotics,80,Value Chain Visualisation,,,5
20,Energy,"operations,Power Generation",Automation and Robotics,80,Robotic Inspection,,,5
21,Energy,"operations,Power Generation",Automation and Robotics,80,Energy Storage,,,5
22,Energy,Customer Service,Chatbots,70,customer inquiries,,,5
23,Energy,Customer Service,Billing,70,billing and payment processing,,,5
24,Energy,Customer Service,Virtual Assistants,70,customer interactions,,,5
25,Energy,Customer Service,Sentiment Analysis,70,customer feedback,,,5
26,Energy,Customer Service,Knowledge Base Management,70,manage and update customer,,,5
27,Energy,Customer Service, Feedback Analysis,70, customer feedback,,,5
28,Energy,Customer Service,Predictive Support,70,historical data,,,5
29,Energy,Customer Service,Service Ticketing,70,Decision making,,,5
30,Energy,Customer Service,Live Chat Support,70,real-time customer interaction,,,5
31,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Predictive Maintenance,,,5
32,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Asset Optimization,,,5
33,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Power Plant Simulation,,,5
34,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Grid Simulation,,,5
35,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Building Energy Management,,,5
36,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Demand Response Optimization,,,5
37,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Wind and Solar Farm Modeling,,,5
38,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Energy Storage Optimization,,,5
39,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Fault Detection and Isolation,,,5
40,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Emissions Monitoring and Mitigation,,,5
41,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Disaster Response Planning,,,5
42,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Compliance Modeling,,,5
43,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Wireless network,,,5
44,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Satelite communication,,,5
45,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Fibre optics,,,5
46,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Sensitive data,,,5
47,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Infrastructure,,,5
48,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Operational systems,,,5
49,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Data privacy,,,5
50,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Intrusion Detection and Prevention,,,5
51,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Data Encryption and Secure Communication,,,5
52,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Access Control and Authentication,,,5
53,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Incident Response and Recovery,,,5
54,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Compliance with Regulatory Requirements,,,5
55,Energy,Safety and Compliance,Cybersecurity and Data Privacy,40,Continuous Monitoring and Auditing,,,5
56,Energy,Supply Chain and Logistics,Supply Chain Digitization,30,Procurement,,,5
57,Energy,Supply Chain and Logistics,Supply Chain Digitization,30,Logistics,,,5
58,Energy,Supply Chain and Logistics,Supply Chain Digitization,30,Inventory management,,,5
59,Energy,Supply Chain and Logistics,Supply Chain Digitization,30,Real time tracking,,,5
60,Energy,Human Resources (HR),Workforce Skills and Training,50,Training programs,,,5
61,Energy,Human Resources (HR),Recruitment,50,Hiring Process,,,5
62,Energy,Human Resources (HR),Boarding,50,Orientation,,,5
63,Energy,Human Resources (HR),Discplinary,50,Hearing,,,5
64,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Environmental impact,,,5
65,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Energy consumption,,,5
66,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Sustainable Energy practice,,,5
